"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/paulstevens/Developer/alchezoomy2-be/lib/app.js", "JavaScript", 28, 0, 13, 41
"/Users/paulstevens/Developer/alchezoomy2-be/lib/auth/admin-auth.js", "JavaScript", 11, 0, 4, 15
"/Users/paulstevens/Developer/alchezoomy2-be/lib/auth/ensure-admin-auth.js", "JavaScript", 11, 0, 1, 12
"/Users/paulstevens/Developer/alchezoomy2-be/lib/auth/ensure-student-auth.js", "JavaScript", 11, 0, 1, 12
"/Users/paulstevens/Developer/alchezoomy2-be/lib/auth/ensure-teacher-auth.js", "JavaScript", 11, 0, 4, 15
"/Users/paulstevens/Developer/alchezoomy2-be/lib/auth/invite-auth.js", "JavaScript", 16, 0, 4, 20
"/Users/paulstevens/Developer/alchezoomy2-be/lib/auth/jwt.js", "JavaScript", 10, 0, 2, 12
"/Users/paulstevens/Developer/alchezoomy2-be/lib/auth/student-auth.js", "JavaScript", 37, 0, 13, 50
"/Users/paulstevens/Developer/alchezoomy2-be/lib/auth/student-invite-auth.js", "JavaScript", 16, 0, 4, 20
"/Users/paulstevens/Developer/alchezoomy2-be/lib/auth/teacher-auth.js", "JavaScript", 36, 0, 11, 47
"/Users/paulstevens/Developer/alchezoomy2-be/lib/auth/teacher-invite-auth.js", "JavaScript", 15, 0, 4, 19
"/Users/paulstevens/Developer/alchezoomy2-be/lib/client.js", "JavaScript", 8, 4, 2, 14
"/Users/paulstevens/Developer/alchezoomy2-be/lib/controllers/admin-auth-routes.js", "JavaScript", 48, 0, 12, 60
"/Users/paulstevens/Developer/alchezoomy2-be/lib/controllers/admin-teacher-routes.js", "JavaScript", 37, 0, 8, 45
"/Users/paulstevens/Developer/alchezoomy2-be/lib/controllers/deauthorize.js", "JavaScript", 36, 0, 12, 48
"/Users/paulstevens/Developer/alchezoomy2-be/lib/controllers/student-bookmark-routes.js", "JavaScript", 35, 0, 7, 42
"/Users/paulstevens/Developer/alchezoomy2-be/lib/controllers/student-favorite-routes.js", "JavaScript", 34, 0, 9, 43
"/Users/paulstevens/Developer/alchezoomy2-be/lib/controllers/student-meetings-routes.js", "JavaScript", 24, 9, 17, 50
"/Users/paulstevens/Developer/alchezoomy2-be/lib/controllers/student-routes.js", "JavaScript", 53, 1, 23, 77
"/Users/paulstevens/Developer/alchezoomy2-be/lib/controllers/teacher-meetings-routes.js", "JavaScript", 50, 0, 26, 76
"/Users/paulstevens/Developer/alchezoomy2-be/lib/controllers/teacher-routes.js", "JavaScript", 32, 0, 16, 48
"/Users/paulstevens/Developer/alchezoomy2-be/lib/controllers/teacher-subscription-routes.js", "JavaScript", 39, 0, 13, 52
"/Users/paulstevens/Developer/alchezoomy2-be/lib/emoji.js", "JavaScript", 10, 0, 5, 15
"/Users/paulstevens/Developer/alchezoomy2-be/lib/middleware/error.js", "JavaScript", 9, 1, 4, 14
"/Users/paulstevens/Developer/alchezoomy2-be/lib/middleware/not-found.js", "JavaScript", 5, 0, 1, 6
"/Users/paulstevens/Developer/alchezoomy2-be/lib/models/Admin.js", "JavaScript", 54, 0, 21, 75
"/Users/paulstevens/Developer/alchezoomy2-be/lib/models/Bookmark.js", "JavaScript", 67, 0, 10, 77
"/Users/paulstevens/Developer/alchezoomy2-be/lib/models/Favorite.js", "JavaScript", 83, 0, 13, 96
"/Users/paulstevens/Developer/alchezoomy2-be/lib/models/Meeting.js", "JavaScript", 236, 0, 42, 278
"/Users/paulstevens/Developer/alchezoomy2-be/lib/models/Student.js", "JavaScript", 93, 0, 20, 113
"/Users/paulstevens/Developer/alchezoomy2-be/lib/models/Subscription.js", "JavaScript", 79, 0, 18, 97
"/Users/paulstevens/Developer/alchezoomy2-be/lib/models/Teacher.js", "JavaScript", 101, 0, 21, 122
"/Users/paulstevens/Developer/alchezoomy2-be/lib/utils/deleteFromS3.js", "JavaScript", 18, 0, 4, 22
"/Users/paulstevens/Developer/alchezoomy2-be/lib/utils/insertNewChat.js", "JavaScript", 27, 0, 14, 41
"/Users/paulstevens/Developer/alchezoomy2-be/lib/utils/insertNewTranscript.js", "JavaScript", 25, 0, 8, 33
"/Users/paulstevens/Developer/alchezoomy2-be/lib/utils/inviteStudent.js", "JavaScript", 30, 0, 8, 38
"/Users/paulstevens/Developer/alchezoomy2-be/lib/utils/inviteTeacher.js", "JavaScript", 30, 0, 8, 38
"/Users/paulstevens/Developer/alchezoomy2-be/lib/utils/isStudentAlsoTeacher.js", "JavaScript", 13, 0, 5, 18
"/Users/paulstevens/Developer/alchezoomy2-be/lib/utils/parseMeetingObj.js", "JavaScript", 42, 0, 12, 54
"/Users/paulstevens/Developer/alchezoomy2-be/lib/utils/parseReturnedStudentInfo.js", "JavaScript", 53, 0, 10, 63
"/Users/paulstevens/Developer/alchezoomy2-be/lib/utils/parseReturnedTeacherInfo.js", "JavaScript", 49, 0, 10, 59
"/Users/paulstevens/Developer/alchezoomy2-be/lib/utils/sendToS3.js", "JavaScript", 30, 4, 11, 45
"/Users/paulstevens/Developer/alchezoomy2-be/lib/utils/updateZoomInfo.js", "JavaScript", 12, 0, 6, 18
"Total", "-", 1664, 19, 457, 2140
